ListingKey,CreditGrade,Term,LoanStatus,BorrowerAPR,BorrowerRate,ProsperRating,BorrowerState,EmploymentStatus,IsBorrowerHomeowner,OpenCreditLines,TotalCreditLinespast7years,DebtToIncomeRatio,IncomeRange,ListingCategory,CreditRating
0F1A3597143888805163EF7,,36,Past Due (1-15 days),0.17969000000000002,0.1435,B,AL,Employed,False,7.0,29.0,0.18,"$25,000-49,999",Debt Consolidation,B
10623584773904550935540,,36,Past Due (16-30 days),0.33286,0.2932,E,NY,Employed,False,9.0,9.0,0.12,"$50,000-74,999",Other,E
112A35420359988673C6984,,36,Past Due (1-15 days),0.33973000000000003,0.2999,E,KY,Other,False,6.0,35.0,0.41,"$1-24,999",Home Improvement,E
08D335216318965380C136A,,36,Past Due (61-90 days),0.30532,0.2699,D,MO,Employed,False,3.0,4.0,0.13,"$25,000-49,999",Debt Consolidation,D
094C3551700144680B7B88F,,60,Past Due (61-90 days),0.17849,0.1551,A,TX,Employed,True,8.0,27.0,0.3,"$50,000-74,999",Debt Consolidation,A
2C7B3586796427455CA497C,,60,Past Due (61-90 days),0.13942000000000002,0.1169,A,MA,Employed,True,9.0,30.0,0.11,"$100,000+",Debt Consolidation,A
3CAF3580096380178D5C95F,,60,Past Due (31-60 days),0.24282,0.2179,C,NY,Employed,True,9.0,21.0,0.42,"$50,000-74,999",Debt Consolidation,C
46203553164558514C5C5DA,,60,Past Due (61-90 days),0.16151,0.1385,A,GA,Employed,True,10.0,24.0,0.32,"$25,000-49,999",Other,A
00FE35729553959812189BF,,36,Past Due (1-15 days),0.21025,0.1734,C,NY,Employed,False,8.0,41.0,0.12,"$50,000-74,999",Debt Consolidation,C
3E173579297454629E210E2,,36,Past Due (1-15 days),0.20053,0.1639,B,MO,Employed,True,8.0,24.0,0.33,"$50,000-74,999",Debt Consolidation,B
3E2C355253283818287B92F,,36,Past Due (16-30 days),0.35796999999999995,0.3177,HR,OH,Other,False,7.0,15.0,0.18,"$1-24,999",Debt Consolidation,HR
09F635476606736652D26FB,,36,Past Due (1-15 days),0.35796999999999995,0.3177,HR,KY,Employed,False,10.0,77.0,0.34,"$25,000-49,999",Household Expenses,HR
2E8E3573112288791EACED3,,36,Past Due (16-30 days),0.18725,0.1509,B,FL,Employed,True,17.0,40.0,0.34,"$50,000-74,999",Business,B
020E3526008577032F83C13,,36,Past Due (31-60 days),0.13413,0.1129,A,TN,Full-time,True,13.0,45.0,0.17,"$100,000+",Debt Consolidation,A
35973537767842230ECA17A,,36,Past Due (1-15 days),0.2399,0.2024,C,IL,Employed,False,4.0,31.0,0.17,"$25,000-49,999",Debt Consolidation,C
3FB03557033629737B5CF10,,36,Past Due (16-30 days),0.35796999999999995,0.3177,HR,GA,Employed,True,6.0,22.0,0.22,"$50,000-74,999",Debt Consolidation,HR
489735259715577183EA5FD,,36,Past Due (91-120 days),0.30532,0.2699,D,TX,Employed,False,5.0,6.0,0.22,"$25,000-49,999",Auto,D
43D73547146884280C0F1BF,,36,Past Due (1-15 days),0.35796999999999995,0.3177,HR,OK,Employed,True,5.0,33.0,0.2,"$50,000-74,999",Home Improvement,HR
09F135786395904952F8B5B,,36,Past Due (1-15 days),0.25013,0.2124,C,NY,Employed,False,8.0,11.0,0.15,"$75,000-99,999",Debt Consolidation,C
0A043582554436102ECB10E,,60,Past Due (1-15 days),0.31293000000000004,0.2862,E,GA,Employed,False,3.0,31.0,0.05,"$75,000-99,999",Medical/Dental,E
027D3517562142059A8FDC8,,60,Past Due (1-15 days),0.29371,0.2699,D,GA,Employed,True,17.0,50.0,0.25,"$50,000-74,999",Debt Consolidation,D
43C23578902438017FBDB8C,,60,Past Due (91-120 days),0.30748000000000003,0.2809,E,FL,Employed,False,7.0,9.0,0.09,"$75,000-99,999",Business,E
40623559289495477E7D3B9,,36,Past Due (91-120 days),0.20462,0.1679,B,IN,Employed,False,10.0,18.0,,"$1-24,999",Engagement Ring,B
378E3526611060279D69CBD,,36,Past Due (1-15 days),0.35643,0.3199,HR,MD,Employed,False,5.0,7.0,,"$1-24,999",Debt Consolidation,HR
036D35828110680794E5213,,36,Past Due (16-30 days),0.35356,0.3134,HR,OH,Employed,False,11.0,35.0,0.69,"$25,000-49,999",Debt Consolidation,HR
4437354879903084641C2D5,,60,Past Due (16-30 days),0.27462,0.2489,C,GA,Not employed,False,3.0,20.0,,Not employed,Other,C
37B43556050266808E8D1EF,,36,Past Due (1-15 days),0.35796999999999995,0.3177,HR,IL,Self-employed,False,4.0,18.0,,"$25,000-49,999",Business,HR
0B863574984199130CEA006,,60,Past Due (61-90 days),0.24282,0.2179,C,ID,Employed,True,11.0,21.0,0.36,"$25,000-49,999",Business,C
47B33584303707552198965,,36,Past Due (91-120 days),0.2878,0.2492,D,IN,Employed,True,13.0,24.0,0.47,"$25,000-49,999",Debt Consolidation,D
0B70358860334619970CF5E,,36,Past Due (91-120 days),0.32538,0.2859,E,FL,Employed,False,11.0,14.0,0.23,"$50,000-74,999",Home Improvement,E
66113575743707524D58782,,60,Past Due (91-120 days),0.31848000000000004,0.2916,E,MS,Employed,False,5.0,25.0,0.5,"$25,000-49,999",Debt Consolidation,E
4BE1358534532344530413A,,36,Past Due (1-15 days),0.31032,0.2712,E,FL,Employed,False,8.0,20.0,0.24,"$25,000-49,999",Debt Consolidation,E
